Workout Name,Current Rep,Current Set,workout time
{'Standard Squarts'},0/15,1/4,{11.511306762695312}
{'Standard Squarts'},0/15,1/4,{11.561465501785278}
{'Standard Squarts'},0/15,1/4,{11.606570482254028}
{'Standard Squarts'},0/15,1/4,{11.6520414352417}
{'Standard Squarts'},0/15,1/4,{11.684679746627808}
{'Standard Squarts'},0/15,1/4,{11.73264193534851}
{'Standard Squarts'},0/15,1/4,{11.777140378952026}
{'Standard Squarts'},0/15,1/4,{11.826390743255615}
{'Standard Squarts'},0/15,1/4,{11.870805025100708}
{'Standard Squarts'},0/15,1/4,{11.916379928588867}
{'Standard Squarts'},0/15,1/4,{11.950487852096558}
{'Standard Squarts'},0/15,1/4,{11.996118545532227}
{'Standard Squarts'},0/15,1/4,{12.041563510894775}
{'Standard Squarts'},0/15,1/4,{12.091035842895508}
{'Standard Squarts'},0/15,1/4,{12.135581731796265}
{'Standard Squarts'},0/15,1/4,{12.168506145477295}
{'Standard Squarts'},0/15,1/4,{12.215016603469849}
{'Standard Squarts'},0/15,1/4,{12.259623289108276}
{'Standard Squarts'},0/15,1/4,{12.30947494506836}
{'Standard Squarts'},0/15,1/4,{12.354595422744751}
{'Standard Squarts'},0/15,1/4,{12.399768829345703}
{'Standard Squarts'},0/15,1/4,{12.432256937026978}
{'Standard Squarts'},0/15,1/4,{12.480111360549927}
{'Standard Squarts'},0/15,1/4,{12.526158094406128}
{'Standard Squarts'},0/15,1/4,{12.571979761123657}
{'Standard Squarts'},0/15,1/4,{12.609265804290771}
{'Standard Squarts'},0/15,1/4,{12.651633739471436}
{'Standard Squarts'},0/15,1/4,{12.699071884155273}
{'Standard Squarts'},0/15,1/4,{12.744513034820557}
{'Standard Squarts'},0/15,1/4,{12.792180061340332}
{'Standard Squarts'},0/15,1/4,{12.841530323028564}
{'Standard Squarts'},0/15,1/4,{12.885588645935059}
{'Standard Squarts'},0/15,1/4,{12.934118747711182}
{'Standard Squarts'},0/15,1/4,{12.978568077087402}
{'Standard Squarts'},0/15,1/4,{13.010791063308716}
{'Standard Squarts'},0/15,1/4,{13.043705701828003}
{'Standard Squarts'},0/15,1/4,{13.09122610092163}
{'Standard Squarts'},0/15,1/4,{13.135459661483765}
{'Standard Squarts'},0/15,1/4,{13.168801307678223}
{'Standard Squarts'},0/15,1/4,{13.215020895004272}
{'Standard Squarts'},0/15,1/4,{13.25973391532898}
{'Standard Squarts'},0/15,1/4,{13.307324171066284}
{'Standard Squarts'},0/15,1/4,{13.354349374771118}
{'Standard Squarts'},0/15,1/4,{13.400740385055542}
{'Standard Squarts'},0/15,1/4,{13.446072578430176}
{'Standard Squarts'},0/15,1/4,{13.496472120285034}
{'Standard Squarts'},0/15,1/4,{13.540636539459229}
{'Standard Squarts'},0/15,1/4,{13.588558435440063}
{'Standard Squarts'},0/15,1/4,{13.642319679260254}
{'Standard Squarts'},0/15,1/4,{13.687330722808838}
{'Standard Squarts'},0/15,1/4,{13.730146884918213}
{'Standard Squarts'},0/15,1/4,{13.774731636047363}
{'Standard Squarts'},0/15,1/4,{13.823075294494629}
{'Standard Squarts'},0/15,1/4,{13.8673415184021}
{'Standard Squarts'},0/15,1/4,{13.914879560470581}
{'Standard Squarts'},0/15,1/4,{13.963110446929932}
{'Standard Squarts'},0/15,1/4,{14.007929801940918}
{'Standard Squarts'},0/15,1/4,{14.0829598903656}
{'Standard Squarts'},0/15,1/4,{14.120483160018921}
